property_type,sector,price,areaWithType,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_category,floorNum_cat
0.0,11.0,1.65,1696.0,3,4,3.0,0.0,2003.0,1771.32,1302.01,1,0,1,2.0,1.0
0.0,53.0,0.45,601.0,1,1,0.0,0.0,1827.75,1650.0,461.77131,0,0,1,1.0,1.0
0.0,18.0,0.35,2247.0,2,2,1.0,0.0,867.0,737.0,650.0,0,0,0,1.0,1.0
1.0,44.0,5.75,849.0,4,4,2.0,4.0,1827.75,260.0,220.0,0,1,2,0.0,2.0
0.0,91.0,1.12,1427.0,2,2,3.0,3.0,1741.0,1485.0,1335.0,0,0,0,1.0,2.0
0.0,36.0,0.75,1017.0,2,2,2.0,3.0,1000.0,1650.0,727.0,0,0,0,1.0,2.0
0.0,95.0,0.25,2171.0,1,1,1.0,1.0,500.0,430.0,410.0,0,0,0,2.0,2.0
1.0,41.0,0.67,1002.0,3,2,1.0,0.0,1827.75,783.0,1294.0,0,0,0,1.0,1.0
0.0,23.0,0.56,673.0,1,1,2.0,0.0,1827.75,1650.0,651.0,0,0,0,2.0,2.0
0.0,75.0,1.75,115.0,3,4,4.0,3.0,1827.75,1706.0,1050.0,0,0,2,1.0,0.0
1.0,20.0,4.15,836.0,5,4,2.0,2.0,1827.75,2250.0,1294.0,0,0,1,2.0,1.0
0.0,69.0,3.4,1872.0,3,4,3.0,3.0,2358.0,1650.0,1294.0,0,1,1,0.0,0.0
0.0,95.0,0.95,361.0,2,2,2.0,1.0,1827.75,1650.0,1103.0,1,1,0,1.0,2.0
0.0,86.0,2.3,1752.0,3,3,4.0,3.0,2103.0,1617.0,1257.0,1,1,2,1.0,0.0
1.0,28.0,7.6,816.0,2,9,3.0,3.0,1827.75,1935.0,1294.0,1,0,1,2.0,2.0
0.0,101.0,0.32,634.0,2,2,1.0,3.0,1827.75,1650.0,549.174178,0,0,1,1.0,2.0
0.0,5.0,0.45,316.0,1,1,2.0,3.0,1827.75,750.0,1294.0,0,0,0,1.0,2.0
1.0,57.0,2.99,774.0,4,4,2.0,0.0,1827.75,1449.0,1294.0,1,1,1,1.0,1.0
0.0,12.0,1.5,1780.0,3,4,4.0,3.0,2150.0,1797.0,1670.0,0,1,0,1.0,2.0
1.0,43.0,2.65,820.0,3,3,3.0,1.0,1827.75,1800.0,1400.0,0,1,1,1.0,2.0
1.0,32.0,1.5,822.0,7,2,0.0,3.0,1827.75,1980.0,1294.0,0,0,0,1.0,1.0
0.0,92.0,1.5,1574.0,3,3,1.0,3.0,1900.0,1650.0,1294.0,0,0,0,1.0,0.0
0.0,48.0,9.3,2133.0,4,4,4.0,0.0,3931.0,3831.0,3731.0,1,1,1,2.0,2.0
0.0,89.0,1.19,1341.0,2,2,3.0,3.0,1640.0,1630.0,1620.0,0,0,0,1.0,2.0
0.0,10.0,0.5,1023.0,3,2,2.0,3.0,1050.0,850.0,645.0,0,0,0,1.0,2.0
0.0,7.0,1.4,1186.0,3,2,2.0,4.0,1389.0,1650.0,884.58,0,0,0,1.0,2.0
0.0,94.0,1.0,427.0,2,2,3.0,3.0,1827.75,1650.0,1450.0,1,0,0,2.0,2.0
0.0,103.0,1.3,1453.0,3,3,4.0,3.0,1751.0,1650.0,1290.0,0,0,0,1.0,2.0
0.0,91.0,0.9,1246.0,3,3,2.0,3.0,1485.0,1402.0,1400.0,0,0,0,2.0,0.0
1.0,8.0,0.5,0.0,2,2,0.0,3.0,1827.75,100.0,1294.0,0,0,0,1.0,1.0
0.0,89.0,1.15,1653.0,3,3,2.0,3.0,1980.0,1350.0,1308.0,1,1,1,0.0,1.0
0.0,72.0,1.36,1301.0,3,3,2.0,3.0,1578.0,1650.0,1294.0,0,0,1,1.0,0.0
0.0,5.0,1.4,1168.0,2,2,3.0,3.0,1368.0,1650.0,1200.0,0,0,0,2.0,1.0
1.0,56.0,2.8,86.0,4,4,0.0,3.0,1827.75,1500.0,1294.0,0,0,0,1.0,1.0
1.0,51.0,10.45,892.0,5,7,4.0,0.0,1827.75,3240.0,1294.0,1,1,1,0.0,1.0
0.0,90.0,0.34,608.0,2,2,1.0,3.0,1827.75,1650.0,483.0,0,0,1,2.0,1.0
0.0,90.0,0.39,2203.0,2,2,0.0,3.0,600.0,1650.0,500.0,0,0,0,1.0,2.0
1.0,41.0,1.1,348.0,3,4,1.0,3.0,1827.75,990.0,1294.0,0,0,0,1.0,1.0
0.0,103.0,0.35,2192.0,2,2,2.0,1.0,576.0,1650.0,1294.0,0,0,0,1.0,0.0
0.0,98.0,1.75,2005.0,4,3,4.0,3.0,2724.0,1650.0,1573.59,1,1,0,2.0,2.0
0.0,49.0,2.1,1700.0,3,3,3.0,0.0,2015.58,1604.25,1294.0,0,0,1,2.0,2.0
0.0,48.0,3.65,1559.0,3,3,4.0,3.0,1870.0,1869.0,1294.0,0,0,1,0.0,2.0
0.0,103.0,0.95,1236.0,2,2,4.0,1.0,1465.0,1175.97,834.96,1,0,0,2.0,1.0
0.0,72.0,1.29,1294.0,3,3,1.0,3.0,1568.0,1650.0,1294.0,0,0,1,2.0,0.0
