,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,furnishing_type,luxury_cat,floorNum_cat
787,flat,sector 70,1.6,3,5,3,Relatively New,1950.0,,1161.0,0,1,unfurnished,medium,medium
788,house,sector 26,31.5,7,9,3+,Moderately Old,,9000.0,,1,1,furnished,medium,low
789,flat,sector 107,0.9,2,2,3,Relatively New,1534.0,,1056.0,1,0,semi_furnished,medium,medium
790,flat,sector 37d,1.78,4,3,3,Relatively New,2191.0,,,0,1,unfurnished,medium,medium
791,flat,sector 102,1.8,3,3,3,Relatively New,1692.0,,,0,0,unfurnished,medium,low
792,flat,sector 70a,1.69,3,3,3+,New Property,1976.0,1900.0,1650.0,0,1,unfurnished,high,medium
793,flat,sector 67,3.39,3,4,3,Relatively New,2358.0,2100.0,2000.0,0,1,semi_furnished,low,high
794,flat,sector 89,0.42,2,2,2,Relatively New,850.0,,,0,0,unfurnished,low,low
795,flat,sector 102,1.78,3,4,3+,Moderately Old,1931.0,,,0,1,unfurnished,medium,medium
796,flat,sohna road,0.25,2,2,1,Relatively New,,587.0,,0,0,unfurnished,low,low
797,flat,sector 106,1.25,3,4,3+,Relatively New,1760.0,1186.0,1130.0,0,1,unfurnished,high,medium
798,flat,sector 109,1.26,3,2,3,Relatively New,1880.0,,,0,0,unfurnished,medium,medium
799,flat,sector 54,1.59,3,3,3+,Moderately Old,,2250.0,,1,0,semi_furnished,medium,low
800,flat,sector 83,1.8,3,4,3,Relatively New,1900.0,,1244.33,1,1,semi_furnished,high,medium
801,house,sector 14,6.46,5,5,2,Moderately Old,,380.0,300.0,1,1,semi_furnished,low,low
802,flat,sector 79,1.3,2,2,2,Relatively New,1470.0,,,1,0,semi_furnished,medium,medium
803,flat,sector 84,1.5,3,3,3,New Property,2000.0,,1700.0,0,1,unfurnished,medium,low
804,house,sector 105,1.2,4,4,1,Moderately Old,,900.0,,0,0,unfurnished,low,low
805,flat,sector 63a,2.2,2,3,3+,Under Construction,1258.0,,770.0,0,0,unfurnished,medium,medium
806,flat,sector 67a,0.6,2,2,2,New Property,700.0,,,0,0,unfurnished,low,high
807,flat,sector 58,3.8,3,4,1,Moderately Old,2164.0,1700.0,1600.0,0,1,semi_furnished,high,high
808,flat,sector 70,0.99,3,4,2,Under Construction,1565.0,,,0,0,unfurnished,low,high
809,flat,sector 79,1.3,3,3,2,Relatively New,1620.0,,867.24,1,0,unfurnished,high,medium
810,flat,sector 51,0.71,2,2,1,Relatively New,,,906.0,0,0,unfurnished,low,medium
811,flat,sector 37d,1.0,3,3,3+,Moderately Old,1770.0,,,0,0,unfurnished,low,high
812,flat,sector 61,1.6,2,2,2,New Property,,,1150.0,1,0,unfurnished,low,medium
813,flat,sector 88a,1.29,3,3,3,New Property,1629.0,,1628.0,1,0,unfurnished,medium,medium
814,flat,sector 68,1.0,2,2,2,New Property,,,1180.0,0,0,unfurnished,medium,high
815,house,sector 8,0.82,2,4,0,,,,802.0,0,0,unfurnished,low,low
816,flat,sector 104,2.45,3,4,3+,Relatively New,2450.0,,1840.0,0,1,semi_furnished,medium,high
817,flat,sector 83,1.76,3,3,3,Relatively New,1900.0,1500.0,1240.0,0,1,semi_furnished,high,medium
818,flat,sector 74,1.6,2,2,2,New Property,1406.0,,,0,0,unfurnished,low,high
819,flat,sector 109,0.79,3,2,2,Relatively New,1457.0,,996.0,0,0,semi_furnished,low,low
820,flat,sector 86,1.3,4,6,2,New Property,2786.0,,,0,1,unfurnished,medium,high
821,flat,sector 74,2.25,3,3,3,Relatively New,2000.0,1900.0,1800.0,1,0,unfurnished,high,medium
822,flat,sohna road,0.65,2,2,3,New Property,,822.0,520.0,0,0,unfurnished,medium,low
823,flat,sector 81,0.75,2,2,2,Moderately Old,,,1257.0,0,0,unfurnished,low,medium
824,flat,sector 69,3.1,4,6,3+,Relatively New,3156.0,,2500.0,0,1,unfurnished,high,high
825,flat,sector 72,4.1,3,3,3,Moderately Old,2550.0,,,0,1,unfurnished,low,medium
826,flat,sector 102,1.98,3,3,3+,Relatively New,,,2000.0,0,1,semi_furnished,medium,medium
827,flat,sector 65,2.44,3,3,2,Under Construction,1828.0,,,0,0,unfurnished,low,medium
828,flat,sector 12,0.72,2,2,1,Relatively New,,,990.0,0,0,semi_furnished,low,low
829,flat,sector 66,2.99,3,3,3,Relatively New,2000.0,1800.0,1500.0,0,1,semi_furnished,low,medium
830,flat,sector 37d,1.49,3,3,3,Relatively New,1832.0,,1580.0,0,0,unfurnished,low,high
831,flat,sector 69,2.6,4,4,3+,Moderately Old,2400.0,,,0,1,unfurnished,low,medium
832,flat,sector 65,2.0,3,3,3,Relatively New,,,1650.0,0,1,semi_furnished,medium,low
833,house,sector 52,5.5,9,9,3+,Moderately Old,,300.0,,0,1,semi_furnished,low,low
834,flat,sector 37,0.4,2,2,2,New Property,,,600.0,0,0,unfurnished,low,medium
835,flat,sector 90,0.92,3,3,2,Relatively New,,,1950.0,1,0,semi_furnished,low,medium
836,flat,gwal pahari,1.53,3,3,3,New Property,,,1430.0,0,0,semi_furnished,medium,low
837,flat,sector 106,0.88,2,2,3+,Relatively New,1385.0,1120.0,1040.0,0,0,unfurnished,low,low
838,flat,sector 102,1.9,3,3,3+,Relatively New,2727.0,2500.0,2250.0,0,1,unfurnished,high,low
839,house,sector 46,5.65,8,6,3+,Moderately Old,,2367.0,,0,1,semi_furnished,medium,low
840,flat,sector 93,0.4,2,2,0,,,730.0,,0,0,unfurnished,low,low
841,house,sector 24,5.25,4,4,3+,Relatively New,,160.0,150.0,0,1,semi_furnished,medium,low
842,flat,sector 67,3.05,3,4,2,Relatively New,2385.0,2200.0,1875.0,1,1,semi_furnished,high,high
843,flat,sector 74,1.6,2,2,2,Relatively New,1682.0,,1345.0,0,0,semi_furnished,high,high
844,house,sector 54,3.51,4,4,3,New Property,,2844.0,,0,1,unfurnished,medium,medium
845,house,sector 10,3.6,3,4,3,Moderately Old,,1836.0,,0,0,semi_furnished,low,low
846,flat,sector 79,1.1,2,2,3,New Property,89.0,,,0,0,unfurnished,medium,medium
847,flat,sector 107,1.02,2,2,3,Relatively New,1534.0,,,1,0,unfurnished,medium,medium
848,flat,sector 81,0.95,2,2,2,Relatively New,1360.0,1260.0,894.0,0,0,semi_furnished,high,high
849,flat,sohna road,0.55,2,2,3,,,,822.0,0,0,unfurnished,medium,low
850,flat,sector 89,1.25,3,3,3,Under Construction,1423.0,,,0,0,unfurnished,low,low
851,house,sector 4,0.92,1,4,3,Moderately Old,,603.0,,0,0,unfurnished,low,medium
852,flat,sector 90,0.65,2,2,3,Relatively New,1350.0,,,1,0,unfurnished,medium,low
853,flat,sector 54,1.5,3,3,3+,Moderately Old,1850.0,1700.0,1550.0,0,0,semi_furnished,medium,medium
854,flat,sohna road,0.22,1,1,1,New Property,,,700.0,0,0,unfurnished,medium,low
855,flat,sector 104,0.82,2,2,3,Relatively New,,,77.31,1,0,unfurnished,medium,high
856,flat,sector 109,2.95,4,4,3+,Relatively New,,3150.0,2850.0,0,1,semi_furnished,high,medium
857,flat,sector 86,0.87,2,2,1,New Property,1360.0,,,0,0,semi_furnished,low,high
858,flat,sector 65,2.3,3,4,3,Relatively New,,,1650.0,1,1,furnished,high,low
859,flat,sector 65,2.33,2,2,3,Under Construction,1261.0,,,0,0,semi_furnished,low,high
860,flat,sector 109,1.75,3,4,3+,Relatively New,2150.0,,,0,1,unfurnished,medium,medium
861,flat,sector 102,1.39,3,3,3,Relatively New,1650.0,,,0,1,semi_furnished,low,medium
862,flat,gwal pahari,0.38,1,1,1,Moderately Old,624.0,,,0,0,unfurnished,low,high
863,flat,sohna road,0.78,3,3,3,Relatively New,,,1210.0,0,0,unfurnished,medium,low
864,flat,sector 63,2.2,3,4,3+,Moderately Old,1717.0,,,1,0,semi_furnished,medium,medium
865,flat,sector 33,1.67,3,2,2,Under Construction,,,1671.0,0,0,unfurnished,medium,high
866,house,sector 28,12.0,4,5,3+,Relatively New,,2844.0,,0,1,semi_furnished,medium,medium
867,flat,sector 36,0.45,1,1,1,Relatively New,500.0,,,0,0,unfurnished,low,medium
868,flat,sector 50,2.35,3,3,3,Moderately Old,2069.0,1900.0,1800.0,0,0,semi_furnished,low,medium
869,flat,sector 48,2.0,3,3,0,Relatively New,2125.0,,,0,1,unfurnished,medium,high
870,flat,gwal pahari,1.5,4,4,3+,Old Property,,,1812.0,1,1,unfurnished,medium,medium
871,flat,sector 25,3.7,4,4,3,Old Property,,,2100.0,0,1,semi_furnished,low,high
872,flat,sector 113,1.9,3,2,2,Relatively New,1579.0,,1027.0,0,0,semi_furnished,high,medium
873,flat,sector 107,0.49,2,2,1,Relatively New,602.0,598.0,,0,0,furnished,low,medium
874,flat,gwal pahari,1.45,3,3,3,Under Construction,,1430.0,760.0,0,0,unfurnished,low,medium
875,flat,sector 69,1.43,3,3,2,Relatively New,1608.0,,1039.0,0,0,unfurnished,medium,low
876,flat,sector 79,1.4,3,3,3,New Property,,,1490.0,0,0,semi_furnished,medium,low
877,flat,gwal pahari,5.25,4,5,3+,New Property,5800.0,,,1,1,unfurnished,low,low
878,flat,sector 69,1.9,4,4,2,Relatively New,2010.0,,,0,0,unfurnished,low,low
879,flat,sector 104,1.75,3,4,3+,Relatively New,2290.0,,1800.0,1,1,semi_furnished,low,high
880,house,sector 33,1.15,2,2,3,Relatively New,,1400.0,1230.0,1,0,semi_furnished,medium,low
881,flat,sector 37,0.67,2,2,2,Relatively New,1200.0,,,0,0,unfurnished,low,low
882,flat,sector 95,0.2,1,1,1,Relatively New,,,366.080239,0,0,unfurnished,medium,low
883,flat,sector 69,1.68,3,3,2,Relatively New,1668.0,,,0,0,unfurnished,high,low
884,house,sector 25,6.3,4,4,3+,Old Property,,1800.0,,0,1,unfurnished,medium,low
885,flat,sector 69,0.9,3,2,3+,Relatively New,1500.0,1326.0,1050.0,0,0,semi_furnished,medium,low
886,flat,sohna road,0.26,2,2,1,Relatively New,,,481.792164,0,0,unfurnished,low,low
887,flat,sector 67a,1.6,3,3,2,New Property,1727.0,,1017.0,0,0,semi_furnished,medium,low
888,flat,sector 111,2.35,3,3,3+,Under Construction,,1615.0,,0,0,unfurnished,low,medium
889,flat,sector 109,1.45,3,4,3+,Relatively New,2150.0,1797.0,1660.0,0,1,unfurnished,medium,medium
890,house,sector 4,2.35,4,4,2,Old Property,,1440.0,,0,0,unfurnished,low,low
891,flat,sector 89,1.2,3,3,2,New Property,,1423.0,,1,0,unfurnished,low,low
892,house,sector 45,16.0,6,7,3+,Relatively New,,4500.0,,1,1,semi_furnished,medium,low
893,flat,sector 99,0.3,2,1,0,,,,450.0,0,0,unfurnished,low,high
894,flat,sector 83,1.3,3,3,1,Relatively New,2860.0,,,0,0,semi_furnished,medium,medium
895,flat,sector 99,0.4,2,2,2,New Property,900.0,,587.0,0,0,unfurnished,medium,medium
896,flat,sector 112,0.7,2,2,2,Relatively New,,1498.0,,0,0,unfurnished,medium,medium
897,house,sector 3,0.55,1,1,0,,,750.0,,0,0,unfurnished,low,low
898,house,sector 7,2.0,2,2,2,Old Property,,1440.0,,0,0,unfurnished,low,low
899,house,sector 4,0.8,2,3,1,Moderately Old,,675.0,,0,0,unfurnished,low,low
900,flat,sector 2,0.2,1,1,1,Moderately Old,,,500.0,0,0,unfurnished,low,low
901,house,sector 109,6.0,4,5,3,Moderately Old,,6228.0,,0,0,unfurnished,medium,low
902,flat,sector 85,0.88,3,3,1,Relatively New,1485.0,,,0,0,unfurnished,medium,low
903,flat,sector 102,1.4,3,3,3,Relatively New,1650.0,,1022.58,0,1,unfurnished,medium,medium
904,flat,sector 108,3.35,3,4,2,New Property,2072.9,,,0,0,unfurnished,medium,high
905,flat,sector 102,1.76,3,3,3,Relatively New,1692.0,,,0,0,unfurnished,medium,low
906,flat,sector 99,0.85,2,2,2,New Property,1252.0,,,0,0,unfurnished,low,low
907,flat,sector 4,0.42,2,2,1,Relatively New,,,750.0,0,0,semi_furnished,low,low
908,house,sector 7,1.55,2,2,2,Moderately Old,,1080.0,,0,0,semi_furnished,medium,low
909,flat,sector 86,0.78,2,2,1,New Property,1360.0,,,0,0,unfurnished,medium,medium
910,flat,sector 33,1.1,2,2,2,,,1275.0,795.0,0,0,unfurnished,low,medium
911,flat,sector 69,1.42,3,3,2,Relatively New,1578.0,,,0,0,semi_furnished,medium,medium
912,flat,sector 108,0.7,2,2,2,Moderately Old,1505.0,,,0,0,unfurnished,medium,high
913,flat,sector 38,2.1,4,4,3+,Old Property,,,1759.0,0,0,furnished,low,medium
914,house,sector 50,7.5,3,3,2,Moderately Old,,241.0,240.0,0,1,semi_furnished,medium,low
915,flat,sector 92,0.95,4,3,2,New Property,2000.0,1983.0,1900.0,0,0,unfurnished,low,high
916,flat,sector 33,3.25,4,4,3+,Old Property,,,4328.0,0,1,semi_furnished,medium,high
917,flat,sector 56,1.7,3,3,3,Moderately Old,,2200.0,1610.0,1,0,unfurnished,low,medium
918,flat,sector 88a,1.19,2,2,3,Relatively New,1628.0,,1171.0,1,0,semi_furnished,high,high
919,house,sector 23,1.2,3,2,2,New Property,,1500.0,,0,0,semi_furnished,medium,low
920,flat,sector 102,1.4,2,2,2,New Property,1349.0,,1000.0,0,0,semi_furnished,low,high
921,flat,sector 48,1.76,3,3,3+,Moderately Old,1776.0,1576.0,1476.0,0,1,semi_furnished,high,medium
922,flat,sector 86,1.45,3,2,3,Relatively New,,1480.0,1050.0,0,0,furnished,medium,medium
923,flat,sector 69,1.4,3,3,2,Relatively New,1578.0,,,0,0,unfurnished,medium,medium
924,flat,sector 62,7.15,4,5,3+,Relatively New,4337.0,,,1,1,semi_furnished,high,medium
925,flat,sector 67,2.72,4,4,3+,Relatively New,2350.0,2250.0,2001.0,0,1,semi_furnished,medium,low
926,flat,sector 93,0.4,2,2,2,New Property,,,543.57695,0,0,unfurnished,low,high
927,flat,sector 70a,1.1,2,2,3+,New Property,1450.0,,,0,0,unfurnished,medium,medium
928,flat,sector 70a,1.34,2,2,3+,New Property,1304.0,,,0,0,semi_furnished,medium,high
929,flat,sohna road,0.95,2,2,3+,Under Construction,1457.0,1050.0,849.0,1,0,unfurnished,medium,medium
930,house,sector 48,19.5,5,6,3,Moderately Old,,8775.0,,1,1,semi_furnished,medium,low
931,flat,sector 112,5.6,4,6,3+,Moderately Old,4857.0,3662.34,,0,1,semi_furnished,high,high
932,flat,sector 91,0.96,2,2,3+,Moderately Old,1404.0,,,0,0,unfurnished,medium,medium
933,flat,sector 81,2.34,3,4,3+,Relatively New,2092.0,1760.0,1670.0,0,1,furnished,high,high
934,flat,sector 43,3.25,4,4,3+,Moderately Old,3200.0,,3000.0,0,0,semi_furnished,medium,high
935,flat,sector 77,1.25,3,4,3,Relatively New,1450.0,,1177.0,1,1,unfurnished,low,low
936,flat,sector 61,1.47,2,2,2,Under Construction,,,1200.0,1,0,unfurnished,medium,low
937,house,sector 36,0.75,3,1,0,,,1081.0,,0,0,unfurnished,low,low
938,house,sector 28,10.5,5,6,3+,New Property,,3240.0,,1,1,semi_furnished,high,low
939,flat,sector 2,0.98,2,2,3,Moderately Old,1565.0,,,1,0,unfurnished,medium,high
940,flat,sector 69,1.66,3,3,2,Relatively New,1638.0,,,0,0,unfurnished,high,low
941,flat,sector 56,0.52,1,1,1,Old Property,525.0,,,0,0,unfurnished,low,low
942,flat,sohna road,0.66,2,2,3,Relatively New,1264.0,,730.0,0,0,unfurnished,low,high
943,house,sector 12,0.7,4,4,1,Moderately Old,,1700.0,,0,0,unfurnished,low,low
944,house,sector 2,9.0,5,5,2,Old Property,,4680.0,,1,1,furnished,medium,low
945,flat,sector 85,1.2,2,2,3+,Relatively New,1640.0,,1148.0,0,0,unfurnished,high,low
946,flat,sector 36,0.36,1,1,1,Relatively New,406.0,,402.0,0,0,unfurnished,medium,medium
947,house,sector 5,3.5,6,5,2,Old Property,,2250.0,,1,1,furnished,high,low
948,flat,sector 67,2.35,3,4,3+,Moderately Old,1935.0,,,0,1,semi_furnished,high,high
949,flat,sector 70a,1.51,3,3,3,Relatively New,1976.0,,,0,1,unfurnished,low,medium
950,flat,sector 83,0.85,2,2,2,Moderately Old,1245.0,1100.0,950.0,0,0,semi_furnished,medium,high
951,flat,sector 85,1.05,2,2,1,Under Construction,,97.0,92.0,0,0,unfurnished,low,high
952,flat,sector 72,1.9,3,3,3,Moderately Old,1975.0,,,0,1,semi_furnished,low,medium
953,house,sector 25,6.25,5,5,3,Moderately Old,,1800.0,,0,1,semi_furnished,medium,low
954,flat,sector 89,1.32,3,3,3,Under Construction,,,780.0,0,0,unfurnished,low,low
955,flat,sector 106,0.88,2,2,3+,Relatively New,1385.0,940.0,845.0,0,0,unfurnished,low,low
956,flat,sector 103,0.3,1,2,2,New Property,,,361.882318,0,0,unfurnished,low,medium
957,flat,sector 37d,1.5,3,2,3+,Relatively New,1520.0,,,0,0,unfurnished,low,high
958,flat,sector 109,1.75,3,3,3,Relatively New,1745.0,1550.0,1250.0,0,0,semi_furnished,low,medium
959,flat,sector 37,0.9,3,3,3,,,1435.0,1100.0,0,0,unfurnished,medium,medium
960,flat,sector 67,3.0,3,3,3+,Relatively New,2047.0,1900.0,1800.0,0,0,semi_furnished,high,medium
961,flat,sohna road,0.28,2,2,2,New Property,650.0,,,0,0,unfurnished,low,high
962,flat,sohna road,0.56,2,2,3,New Property,,,822.0,0,0,unfurnished,medium,low
963,house,sector 12,3.71,3,3,1,Moderately Old,,1872.0,,0,0,unfurnished,low,medium
964,flat,sector 113,2.85,3,3,3+,New Property,2217.0,,,0,1,unfurnished,medium,medium
965,flat,sector 37,1.25,3,3,3,Relatively New,1735.0,,1400.0,1,0,unfurnished,low,low
966,flat,sector 104,2.0,3,4,3+,Relatively New,2290.0,,,0,1,unfurnished,medium,medium
967,flat,sector 107,0.35,2,2,2,Relatively New,,,547.0,0,0,unfurnished,low,medium
968,flat,sector 109,2.15,3,4,3,Relatively New,2095.0,,,0,1,unfurnished,medium,medium
969,flat,sector 77,1.64,4,3,3,Relatively New,1950.0,,,0,1,unfurnished,medium,medium
970,house,sector 4,0.85,3,3,0,,,1130.0,,0,0,unfurnished,low,low
971,flat,sector 47,2.4,3,3,0,Moderately Old,,,2400.0,0,0,semi_furnished,low,low
972,house,sector 13,4.5,4,5,2,Old Property,,4950.0,,0,0,unfurnished,low,low
973,flat,sector 95,0.43,2,2,2,Relatively New,1364.0,1300.0,1020.0,0,0,unfurnished,medium,medium
974,flat,sector 102,1.38,3,3,3,Relatively New,1650.0,,1022.58,0,1,semi_furnished,medium,medium
975,house,sector 25,15.5,5,6,3+,Moderately Old,,4518.0,,1,1,unfurnished,medium,low
976,flat,sector 71,1.35,4,4,3,Moderately Old,2350.0,,,0,1,unfurnished,low,medium
977,flat,sector 65,3.0,4,4,3+,Relatively New,1975.0,,,0,1,unfurnished,medium,low
978,flat,sohna road,0.32,2,2,2,Relatively New,,,554.0,0,0,semi_furnished,low,high
979,flat,sector 107,0.75,2,2,3+,Relatively New,1366.0,,1050.0,0,0,unfurnished,high,high
980,flat,sector 107,0.36,2,2,1,Relatively New,548.0,,,0,0,unfurnished,low,medium
981,flat,sector 89,1.0,2,2,2,New Property,,,1103.0,1,0,unfurnished,low,low
982,flat,sohna road,0.35,2,2,2,New Property,,658.0,554.17,0,0,unfurnished,low,high
983,flat,sector 48,4.3,4,5,3+,New Property,,,3100.0,1,1,unfurnished,medium,medium
984,flat,sector 67a,1.7,3,3,2,New Property,1727.0,,1017.0,0,1,semi_furnished,low,medium
985,flat,sector 69,1.36,3,3,1,Relatively New,1538.0,,,0,0,unfurnished,medium,high
986,house,sector 56,3.4,6,6,3+,Moderately Old,,1530.0,,0,0,semi_furnished,low,low
987,house,sector 67,3.0,4,4,0,,,,2520.0,0,0,unfurnished,low,low
988,house,sector 43,14.0,9,9,3+,Moderately Old,,3510.0,,0,1,unfurnished,low,medium
989,flat,sector 108,3.95,3,5,2,New Property,2343.0,,1512.05,0,1,unfurnished,medium,high
990,house,sector 54,5.7,4,4,0,,,270.0,,0,0,unfurnished,low,low
991,flat,sector 90,1.65,4,4,3+,Moderately Old,2727.0,,,0,0,unfurnished,medium,medium
992,flat,sector 2,0.95,2,3,2,Old Property,,,1300.0,1,0,semi_furnished,low,low
993,flat,sector 90,1.25,3,3,3+,Relatively New,1930.0,1929.0,1928.0,0,1,unfurnished,medium,medium
994,flat,sector 110,3.79,5,5,3,Relatively New,3830.0,,,0,1,unfurnished,medium,medium
995,house,sector 110,0.34,2,2,2,Moderately Old,,270.0,,0,0,unfurnished,low,low
996,house,sector 24,3.5,2,4,3,Old Property,,1080.0,,0,0,unfurnished,low,low
997,flat,sector 102,1.75,3,3,3,Relatively New,1852.0,,1128.0,1,1,unfurnished,low,medium
998,house,sector 70a,0.9,2,2,3+,New Property,,,1187.0,0,1,unfurnished,high,low
999,flat,sector 61,1.58,2,2,2,New Property,,,1150.0,1,0,unfurnished,low,low
1000,flat,sector 37d,0.8,2,2,3,Relatively New,1380.0,1300.0,1200.0,0,0,unfurnished,medium,low
1001,flat,sector 92,0.5,3,3,1,Relatively New,640.0,,,0,0,unfurnished,low,low
1002,house,sector 48,5.5,4,4,2,Relatively New,,2340.0,,0,1,semi_furnished,low,low
1003,flat,sector 111,0.36,1,1,1,Relatively New,,,405.0,0,0,unfurnished,low,medium
1004,flat,sector 69,2.0,4,4,2,Relatively New,2087.0,,,0,0,unfurnished,high,low
1005,house,sector 67,8.0,6,7,3+,Moderately Old,,3600.0,,1,1,semi_furnished,high,low
1006,flat,sector 47,2.45,3,4,2,Old Property,,,2290.0,1,0,semi_furnished,low,low
1007,flat,sector 69,2.05,4,4,2,Relatively New,2087.0,,,0,0,unfurnished,high,low
1008,flat,sector 104,4.45,4,5,3+,Relatively New,,,6500.0,0,0,unfurnished,medium,high
1009,flat,sector 102,1.42,2,2,3,,,1368.0,,0,0,unfurnished,low,high
1010,flat,sector 113,2.4,3,4,3+,Relatively New,2217.0,1940.0,1730.0,0,1,unfurnished,low,medium
1011,house,sector 21,0.6,3,3,2,Old Property,,972.0,,0,0,unfurnished,low,low
1012,house,sector 26,17.0,5,5,3+,Relatively New,,4518.0,,1,1,semi_furnished,medium,low
1013,flat,sector 108,2.5,3,3,2,New Property,1711.0,1480.0,1111.44,0,0,unfurnished,high,high
1014,flat,sector 52,1.5,4,4,3,Old Property,1640.0,,,0,0,unfurnished,medium,low
1015,flat,sector 78,1.15,3,3,3,Moderately Old,2176.0,,,0,1,unfurnished,low,medium
1016,flat,sector 107,0.28,2,2,2,Relatively New,,,489.0,0,0,unfurnished,low,low
1017,flat,sector 36,0.85,3,2,3,New Property,,,750.0,0,0,unfurnished,low,low
1018,flat,sector 81,3.45,4,4,3+,Moderately Old,2792.0,,,0,1,unfurnished,medium,high
1019,flat,sector 72,4.25,4,4,3+,Relatively New,3250.0,,,0,1,semi_furnished,high,low
1020,flat,sector 89,1.2,3,3,2,,,1423.0,920.0,0,0,unfurnished,low,low
1021,flat,sector 103,0.5,2,2,2,Relatively New,800.0,,605.0,0,0,unfurnished,low,medium
1022,flat,sector 88a,1.45,2,2,3+,Relatively New,161.0,,108.4,1,0,furnished,medium,medium
1023,flat,sector 66,2.8,3,3,2,New Property,1950.0,1920.0,1600.0,1,1,furnished,medium,high
1024,house,sector 23,2.8,5,5,3+,Old Property,,160.0,150.0,0,0,semi_furnished,medium,low
1025,house,sector 109,6.75,4,4,3+,New Property,,6228.0,,0,1,unfurnished,medium,low
1026,house,sector 7,1.15,5,3,2,Old Property,,1350.0,,0,0,unfurnished,low,low
1027,flat,sector 95,0.45,2,2,2,New Property,,,514.0,0,0,unfurnished,low,high
1028,flat,sector 91,1.75,4,4,3+,Relatively New,2364.0,,,0,1,unfurnished,medium,medium
1029,flat,sector 83,1.1,3,3,3+,Relatively New,1785.0,1600.0,1500.0,0,0,semi_furnished,medium,medium
1030,flat,sector 68,1.7,4,4,3,New Property,1999.0,,,0,0,unfurnished,low,low
1031,flat,sector 108,0.7,2,2,3,Moderately Old,,,1548.0,0,0,semi_furnished,low,low
1032,flat,sector 2,1.51,3,4,3+,Moderately Old,1920.0,,,0,1,semi_furnished,medium,medium
1033,flat,sector 86,0.44,2,2,2,Relatively New,,,601.0,0,0,semi_furnished,medium,medium
1034,flat,sector 102,2.35,3,3,3,Relatively New,2598.0,,,1,1,semi_furnished,high,high
1035,flat,sector 104,1.75,4,5,3+,New Property,,,2324.0,0,1,unfurnished,medium,low
1036,flat,sector 69,1.75,4,4,1,Relatively New,1970.0,,,0,0,unfurnished,medium,high
1037,flat,sector 92,0.6,2,2,3,Under Construction,1320.0,,,0,0,unfurnished,low,high
1038,flat,sector 56,1.38,3,3,3,Moderately Old,,1910.0,,1,0,semi_furnished,medium,medium
1039,flat,sector 90,0.9,3,4,3,Relatively New,1950.0,,,0,1,unfurnished,high,medium
1040,house,sector 26,4.45,4,4,3,Old Property,,150.0,,0,0,unfurnished,low,low
1041,house,sector 31,3.25,4,4,3+,Moderately Old,,1449.0,,1,1,semi_furnished,low,low
1042,flat,sector 79,0.36,2,2,1,New Property,,546.0,471.0,0,0,unfurnished,medium,medium
1043,flat,sector 54,7.0,4,6,3+,Moderately Old,3000.0,,,0,1,semi_furnished,medium,high
1044,flat,sector 83,1.4,3,3,3,Relatively New,1720.0,,1447.0,0,1,furnished,medium,high
1045,flat,sector 50,2.35,3,3,3,Moderately Old,2093.0,2000.0,1850.0,0,0,semi_furnished,medium,medium
1046,flat,sector 85,2.15,4,5,3+,Relatively New,2812.0,,1968.0,0,1,unfurnished,high,medium
1047,flat,sector 108,2.95,3,4,2,Relatively New,2003.0,1600.0,1400.0,0,0,unfurnished,low,high
1048,flat,sector 3,1.1,2,2,2,Under Construction,1056.58,,,0,0,unfurnished,medium,high
1049,house,sector 47,4.3,3,4,2,Moderately Old,,1467.0,,0,0,unfurnished,low,low
1050,flat,sector 78,1.25,4,4,3,Relatively New,2350.0,2300.0,2000.0,0,1,unfurnished,medium,low
1051,flat,sector 78,1.2,1,2,2,Under Construction,1197.8,,505.0,0,0,unfurnished,low,high
1052,house,sector 105,9.9,2,2,2,,,2000.0,1800.0,0,0,unfurnished,low,low
1053,flat,sector 113,3.35,3,4,3+,New Property,2691.0,2200.0,2000.0,1,1,unfurnished,high,high
1054,flat,sector 70a,1.8,3,3,3,Relatively New,,1925.0,,1,0,unfurnished,medium,low
1055,house,sector 50,7.1,5,4,3,Moderately Old,,239.0,238.0,1,0,semi_furnished,medium,low
1056,flat,sector 79,0.71,2,2,0,Under Construction,,1295.0,,0,0,unfurnished,low,medium
1057,flat,sector 84,1.48,3,3,2,New Property,2000.0,,1294.0,0,1,semi_furnished,medium,low
1058,flat,sector 70,1.25,3,3,3,Under Construction,1865.0,,,0,0,unfurnished,medium,high
1059,flat,sector 67,2.87,3,3,3+,Relatively New,2411.0,,1808.0,0,1,semi_furnished,high,high
1060,flat,sector 61,2.2,3,3,2,Under Construction,,,1630.0,0,0,unfurnished,low,low
1061,flat,sector 109,1.65,3,3,3,Relatively New,1745.0,1650.0,1550.0,0,0,semi_furnished,high,high
1062,flat,sector 83,1.4,3,3,3,Relatively New,1720.0,,1095.3,1,1,semi_furnished,high,low
1063,flat,sector 67,3.49,3,3,3,Relatively New,,,2452.0,0,1,unfurnished,medium,high
1064,flat,sector 77,1.4,3,3,3,,,1735.0,,0,0,unfurnished,low,medium
1065,house,sector 43,5.8,6,6,3,Relatively New,,1935.0,,0,1,semi_furnished,low,low
1066,flat,sector 113,3.21,3,3,3,New Property,2520.0,,,0,0,unfurnished,low,medium
1067,house,sector 3,0.9,3,4,3,Moderately Old,,3500.0,,0,0,semi_furnished,low,low
